STATION,STATION_NAME,DATE,HPCP
COOP:317069,RALEIGH AIRPORT NC US,19520217 06:00,0.11
COOP:317069,RALEIGH AIRPORT NC US,19520217 08:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520217 09:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520220 18:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520220 19:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520220 20:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520220 21:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520223 20:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520223 21:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520223 22:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520223 23:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520224 00:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520224 01:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520224 02:00,0.09
COOP:317069,RALEIGH AIRPORT NC US,19520224 03:00,0.11
COOP:317069,RALEIGH AIRPORT NC US,19520224 04:00,0.11
COOP:317069,RALEIGH AIRPORT NC US,19520224 05:00,0.08
COOP:317069,RALEIGH AIRPORT NC US,19520224 06:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520224 07:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520224 08:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520224 09:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520224 10:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520224 12:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520224 13:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520224 14:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520224 15:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520224 16:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520224 17:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520226 14:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520226 15:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520226 16:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520226 17:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520226 18:00,0.14
COOP:317069,RALEIGH AIRPORT NC US,19520226 19:00,0.14
COOP:317069,RALEIGH AIRPORT NC US,19520226 20:00,0.09
COOP:317069,RALEIGH AIRPORT NC US,19520226 21:00,0.09
COOP:317069,RALEIGH AIRPORT NC US,19520226 22:00,0.14
COOP:317069,RALEIGH AIRPORT NC US,19520226 23:00,0.04
COOP:317069,RALEIGH AIRPORT NC US,19520227 00:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520227 01:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520227 02:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520227 03:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520301 00:00,0.20
COOP:317069,RALEIGH AIRPORT NC US,19520301 01:00,0.24
COOP:317069,RALEIGH AIRPORT NC US,19520301 02:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520302 19:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520302 20:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520302 21:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520302 22:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520302 23:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520303 02:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520303 04:00,0.01
COOP:317069,RALEIGH AIRPORT NC US,19520303 05:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520303 06:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520303 07:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520303 08:00,0.14
COOP:317069,RALEIGH AIRPORT NC US,19520303 09:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520303 10:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520303 12:00,0.07
COOP:317069,RALEIGH AIRPORT NC US,19520303 13:00,0.03
COOP:317069,RALEIGH AIRPORT NC US,19520303 14:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520303 15:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520303 16:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520303 17:00,0.02
COOP:317069,RALEIGH AIRPORT NC US,19520303 18:00,0.05
COOP:317069,RALEIGH AIRPORT NC US,19520303 19:00,0.15
COOP:317069,RALEIGH AIRPORT NC US,19520303 20:00,0.06
COOP:317069,RALEIGH AIRPORT NC US,19520303 21:00,0.12
COOP:317069,RALEIGH AIRPORT NC US,19520303 22:00,0.20
COOP:317069,RALEIGH AIRPORT NC US,19520303 23:00,0.22
